City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,grand-santi,4.25,-54.3833,28.8,57,68,2.32,GF,1680530679
158,hobyo,5.3505,48.5268,29.35,70,7,6.18,SO,1680530679
159,marawi,7.9986,124.2928,20.37,96,81,0.22,PH,1680530679
160,houma,29.5958,-90.7195,25.56,88,100,5.36,US,1680530675
161,kurkino,53.4257,38.6582,6.92,90,100,2.51,RU,1680530679
162,maldonado,-34.6667,-54.9167,17.66,87,100,3.57,UY,1680530679
163,nerang,-27.9833,153.3333,21.44,82,61,3.22,AU,1680530679
164,porto novo,6.4965,2.6036,31.9,56,82,4.69,BJ,1680530679
165,starcevo,41.4167,25.0667,13.46,77,100,2.7,BG,1680530679
166,katsuura,35.1333,140.3,11.1,61,0,5.92,JP,1680530679
167,nioro,13.35,-15.75,39.65,12,19,3.7,GM,1680530679
168,boa vista,2.8197,-60.6733,27.99,54,40,9.77,BR,1680530118
169,kuusamo,65.9667,29.1833,-1.98,46,0,3.09,FI,1680530679
170,bocas del toro,9.3333,-82.25,25.84,75,99,2.26,PA,1680530679
171,vilaka,57.1846,27.6722,0.73,70,100,4.42,LV,1680530680
172,avarua,-21.2078,-159.775,23.03,83,20,0.51,CK,1680530575
173,muros,42.7762,-9.0603,17.13,62,100,1.58,ES,1680530680
174,beloha,-25.1667,45.05,26.71,64,69,6.27,MG,1680530680
175,luderitz,-26.6481,15.1594,23.99,49,0,11.7,NA,1680530680
176,merauke,-8.4667,140.3333,24.94,91,100,3.06,ID,1680530499
177,tura,25.5198,90.2201,22.16,56,81,1.66,IN,1680530680
178,grindavik,63.8424,-22.4338,8.97,87,100,14.4,IS,1680530545
179,coahuayana,18.7333,-103.6833,24.37,43,100,0.9,MX,1680530681
180,saint-augustin,51.226,-58.6502,0.95,76,100,5.85,CA,1680530681
181,san quintin,30.4833,-115.95,12.93,79,70,7.98,MX,1680530681
182,severo-kurilsk,50.6789,156.125,0.47,84,46,5.47,RU,1680530681
183,belmonte,-15.8631,-38.8828,28.11,66,28,4.33,BR,1680530681
184,ribeira grande,38.5167,-28.7,17.22,63,20,5.36,PT,1680530681
185,los llanos de aridane,28.6585,-17.9182,20.86,80,20,7.72,ES,1680530681
186,ugoofaaru,5.6667,73.0,28.27,70,13,3.78,MV,1680530681
187,walvis bay,-22.9575,14.5053,28.53,39,0,6.69,NA,1680530681
188,camacha,33.0833,-16.3333,19.68,68,20,6.69,PT,1680530590
189,baykalsk,51.5058,104.1469,-9.19,76,2,3.94,RU,1680530681
190,nha trang,12.25,109.1833,28.0,88,21,2.84,VN,1680530681
191,ust-nera,64.5667,143.2,-19.99,98,48,1.66,RU,1680530681
192,salalah,17.0151,54.0924,30.05,70,20,3.09,OM,1680530681
193,tiksi,71.6872,128.8694,-8.64,93,81,4.11,RU,1680530681
194,husavik,66.0449,-17.3389,3.55,98,100,4.26,IS,1680530681
195,vostok,46.4856,135.8833,5.3,84,100,2.47,RU,1680530681
196,limon,10.0,-83.0333,27.94,74,0,1.54,CR,1680530681
197,obo,5.3998,26.4869,38.29,15,39,1.99,CF,1680530681
198,gizo,-8.103,156.8419,28.06,76,96,1.68,SB,1680530681
199,vanimo,-2.6741,141.3028,26.03,86,99,0.84,PG,1680530681
200,gold coast,-28.0,153.4333,21.67,85,75,3.6,AU,1680530563
201,sapa,5.1544,120.3241,27.39,80,100,3.41,PH,1680530682
202,rawson,-43.3002,-65.1023,16.17,51,0,1.97,AR,1680530682
203,havre-saint-pierre,50.2334,-63.5986,-7.0,62,75,7.2,CA,1680530682
204,bone,51.9669,12.1396,6.05,53,99,4.93,DE,1680530682
205,alofi,-19.0595,-169.9187,24.94,94,75,4.12,NU,1680530682
206,raton,36.9034,-104.4391,12.34,15,0,4.12,US,1680530683
207,hamilton,39.1834,-84.5333,13.27,68,100,3.6,US,1680530683
208,timaru,-44.4,171.25,10.04,91,20,1.75,NZ,1680530472
209,brufut,13.3814,-16.7518,33.05,38,49,4.12,GM,1680530683
210,hirekerur,14.4667,75.3833,25.94,41,13,5.8,IN,1680530683
211,dicabisagan,17.0818,122.4157,24.04,87,100,2.95,PH,1680530683
212,menongue,-14.6585,17.691,25.01,56,87,3.33,AO,1680530683
213,rio grande,-32.035,-52.0986,27.06,61,100,2.85,BR,1680530683
214,asau,46.4333,26.4,9.51,90,100,2.61,RO,1680530684
215,voznesenye,61.0106,35.4781,-0.61,97,100,6.07,RU,1680530684
216,vestmanna,62.1564,-7.1664,8.51,81,75,8.75,FO,1680530579
217,codrington,-38.2667,141.9667,12.26,91,9,2.45,AU,1680530684
218,lannion,48.75,-3.4167,12.23,62,0,5.66,FR,1680530684
219,smithers,54.7804,-127.1743,-6.82,86,20,1.03,CA,1680530451
220,hilo,19.7297,-155.09,21.27,94,98,0.89,US,1680530603
221,mahebourg,-20.4081,57.7,29.16,70,20,4.12,MU,1680530470
222,panama city,8.9936,-79.5197,31.21,64,20,5.14,PA,1680530654
223,homer,59.6425,-151.5483,-1.79,78,0,2.57,US,1680530686
224,lebu,-37.6167,-73.65,13.69,68,0,6.6,CL,1680530615
225,pacific grove,36.6177,-121.9166,8.7,67,40,8.23,US,1680530687
226,touros,-5.1989,-35.4608,29.92,61,98,3.7,BR,1680530687
227,pemba,-12.974,40.5178,31.39,55,20,5.81,MZ,1680530687
228,sinnamary,5.3833,-52.95,27.74,62,40,4.95,GF,1680530687
229,san bartolome de tirajana,27.9248,-15.5733,19.26,57,20,12.35,ES,1680530687
230,moose factory,51.2585,-80.6094,-13.0,66,100,5.14,CA,1680530687
231,kyabe,9.4515,18.9449,41.63,8,18,1.6,TD,1680530687
232,the valley,18.217,-63.0578,27.92,57,20,8.23,AI,1680530687
233,jinchang,38.4953,102.1739,6.13,45,100,7.48,CN,1680530687
234,nouadhibou,20.931,-17.0347,33.99,18,1,8.23,MR,1680530395
235,narsaq,60.9167,-46.05,9.12,86,100,2.85,GL,1680530688
236,sao joao da barra,-21.6403,-41.0511,27.05,58,100,2.41,BR,1680530688
237,ancud,-41.8697,-73.8203,11.77,65,0,1.81,CL,1680530591
238,torbay,47.6666,-52.7314,0.98,70,75,12.35,CA,1680530604
239,whitehorse,60.7161,-135.0538,-7.57,67,75,1.54,CA,1680530664
240,west bay,19.3667,-81.4167,29.04,70,20,4.12,KY,1680530688
241,fortuna,40.5982,-124.1573,2.74,94,90,2.45,US,1680530688
242,pangai,-19.8,-174.35,26.52,60,84,4.97,TO,1680530688
243,sao borja,-28.6606,-56.0044,26.08,25,8,2.6,BR,1680530688
244,changtu,42.7788,124.0955,9.98,48,100,3.75,CN,1680530688
245,college,64.8569,-147.8028,-15.01,81,40,2.06,US,1680530688
246,nantucket,41.2835,-70.0995,7.27,57,24,4.75,US,1680530391
247,iskateley,67.6803,53.1512,-9.8,90,5,2.65,RU,1680530688
248,flin flon,54.7682,-101.865,-24.09,77,20,2.06,CA,1680530485
249,wairoa,-39.0333,177.3667,11.97,97,96,0.89,NZ,1680530689
250,vardo,70.3705,31.1107,-3.01,86,40,15.95,NO,1680530689
251,pacifica,37.6138,-122.4869,7.78,63,20,8.23,US,1680530472
252,daru,-9.0763,143.2092,25.48,87,100,1.22,PG,1680530689
253,carutapera,-1.195,-46.02,23.38,96,100,0.35,BR,1680530689
254,padang,-0.9492,100.3543,26.03,86,100,1.69,ID,1680530689
255,beringovskiy,63.05,179.3167,-12.32,94,99,5.64,RU,1680530689
256,miracema do tocantins,-9.5618,-48.3967,28.05,72,31,2.19,BR,1680530689
257,michigan city,41.7075,-86.895,10.68,79,40,0.0,US,1680530492
258,yekaterinogradskaya,43.7635,44.2317,18.05,41,61,3.93,RU,1680530689
259,bambous virieux,-20.3428,57.7575,29.14,70,20,4.12,MU,1680530690
260,namibe,-15.1961,12.1522,27.3,62,28,6.2,AO,1680530690
261,abu dhabi,24.4667,54.3667,24.06,56,0,8.23,AE,1680530351
262,wewak,-3.5534,143.6268,25.94,85,100,2.07,PG,1680530690
263,new glasgow,45.5834,-62.6486,-2.34,47,2,7.52,CA,1680530690
264,tiznit,29.5833,-9.5,24.53,38,0,6.06,MA,1680530690
265,mago,53.2514,140.1822,-0.74,94,100,1.7,RU,1680530690
266,coquimbo,-29.9533,-71.3436,13.85,100,100,3.09,CL,1680530602
267,norman wells,65.282,-126.8329,-11.98,85,100,2.06,CA,1680530694
268,xai-xai,-25.0519,33.6442,28.69,60,0,3.36,MZ,1680530694
269,sergeyevka,53.88,67.4158,1.64,83,0,2.61,KZ,1680530694
270,port lincoln,-34.7333,135.8667,17.71,71,2,3.81,AU,1680530506
271,puerto escondido,15.85,-97.0667,27.46,89,40,1.54,MX,1680530694
272,honiara,-9.4333,159.95,25.59,89,33,2.37,SB,1680530694
273,zrnovci,41.8542,22.4444,10.54,84,100,2.75,MK,1680530694
274,namatanai,-3.6667,152.4333,26.75,81,80,2.74,PG,1680530694
275,bagdarin,54.4333,113.6,-9.33,49,100,2.07,RU,1680530694
276,dhidhdhoo,6.8833,73.1,28.3,67,57,3.21,MV,1680530694
277,parrita,9.5201,-84.3225,29.77,53,99,0.35,CR,1680530694
278,libourne,44.9167,-0.25,16.43,59,82,4.47,FR,1680530694
279,fairbanks,64.8378,-147.7164,-15.0,82,100,2.06,US,1680530694
280,kars,40.602,43.095,8.25,76,75,5.66,TR,1680530694
281,dandong,40.1292,124.3947,15.44,25,100,1.86,CN,1680530694
282,dubbo,-32.25,148.6167,18.07,68,57,4.63,AU,1680530694
283,majene,-3.5403,118.9707,26.2,83,100,2.5,ID,1680530694
284,kedrovyy,56.1667,91.8167,0.23,81,99,5.04,RU,1680530694
285,shingu,33.7333,135.9833,14.02,75,96,0.84,JP,1680530694
286,birin,26.8865,88.0718,13.3,69,6,3.0,NP,1680530695
287,jadu,31.953,12.0261,17.06,24,63,10.86,LY,1680530695
288,jalor,25.35,72.6167,30.32,32,32,7.9,IN,1680530695
289,novopokrovka,49.8425,36.5477,6.88,94,100,2.96,UA,1680530695
290,wattegama,6.7989,81.4808,24.4,89,89,1.53,LK,1680530695
291,nsanje,-16.92,35.262,25.81,87,71,1.6,MW,1680530480
292,budapest,47.498,19.0399,11.02,46,75,4.12,HU,1680530249
293,battle creek,42.3212,-85.1797,10.3,30,75,1.68,US,1680530406
294,zhetysay,40.7333,68.3,14.71,82,100,4.35,KZ,1680530695
295,clyde river,70.4692,-68.5914,-25.87,76,0,4.12,CA,1680530695
296,dovers,12.8833,-61.1833,27.77,75,3,8.11,VC,1680530695
297,bayonet point,28.3267,-82.6834,25.72,93,73,0.45,US,1680530695
298,necochea,-38.5473,-58.7368,19.45,50,91,2.08,AR,1680530695
299,vila franca do campo,37.7167,-25.4333,15.23,56,49,0.93,PT,1680530695
300,bardiyah,31.7561,25.0865,27.46,18,4,10.28,LY,1680530695
301,tatawin,32.9297,10.4518,20.48,22,6,9.76,TN,1680530695
302,bohumin,49.9041,18.3576,5.88,38,100,7.16,CZ,1680530695
303,dromolaxia,34.8761,33.586,22.58,76,20,4.12,CY,1680530695
304,buena vista,43.4203,-83.8986,10.01,63,40,5.14,US,1680530581
305,nanortalik,60.1432,-45.2371,2.27,88,100,2.2,GL,1680530695
306,rio gallegos,-51.6226,-69.2181,13.03,47,75,8.23,AR,1680530410
307,ilulissat,69.2167,-51.1,-11.99,72,0,0.51,GL,1680530695
308,buala,-8.145,159.5921,26.9,84,70,3.12,SB,1680530696
309,mar del plata,-38.0023,-57.5575,21.01,68,0,2.68,AR,1680530696
310,kavieng,-2.5744,150.7967,27.65,78,91,2.91,PG,1680530696
311,broome,42.2506,-75.833,7.48,39,50,7.6,US,1680530497
312,shikhany,52.1167,47.2167,14.93,39,100,2.43,RU,1680530696
313,marsabit,2.3284,37.9899,25.53,49,99,4.89,KE,1680530696
314,santiago del estero,-27.7951,-64.2615,23.24,76,100,2.89,AR,1680530696
315,quesnel,52.9999,-122.5029,-8.72,92,0,0.0,CA,1680530696
316,makakilo city,21.3469,-158.0858,20.94,93,75,2.06,US,1680530696
317,pisco,-13.7,-76.2167,23.03,88,85,1.03,PE,1680530696
318,henties bay,-22.116,14.2845,19.0,73,2,7.11,NA,1680530696
319,talnakh,69.4865,88.3972,-24.89,97,79,5.79,RU,1680530698
320,nome,64.5011,-165.4064,-16.61,88,100,2.28,US,1680530407
321,kstovo,56.1473,44.1979,12.66,60,100,3.47,RU,1680530698
322,carlagan,14.975,122.0456,25.75,82,25,6.01,PH,1680530698
323,alekseyevsk,57.8406,108.3492,-5.37,89,100,6.28,RU,1680530698
324,yar-sale,66.8333,70.8333,-24.05,98,6,2.67,RU,1680530698
325,camargo,27.6667,-105.1667,19.43,15,100,1.22,MX,1680530698
326,staryy nadym,65.6118,72.6842,-18.01,91,24,4.88,RU,1680530698
327,andilamena,-17.0167,48.5833,21.6,88,100,2.18,MG,1680530698
328,takoradi,4.8845,-1.7554,32.85,52,83,4.42,GH,1680530446
329,bucak,37.4592,30.595,17.29,55,55,3.79,TR,1680530698
330,hami,42.8,93.45,6.09,16,100,6.29,CN,1680530698
331,tadine,-21.55,167.8833,25.35,87,92,3.07,NC,1680530698
332,porto santo,33.072,-16.3415,21.21,68,20,6.69,PT,1680530698
333,sitka,57.0531,-135.33,1.94,87,40,3.09,US,1680530698
334,comodoro rivadavia,-45.8667,-67.5,14.92,41,0,8.75,AR,1680530698
335,gladstone,-23.85,151.25,22.96,78,64,2.06,AU,1680530698
336,loiza,18.4313,-65.8802,28.23,69,40,8.23,PR,1680530699
337,cuenca,-2.8833,-78.9833,14.07,82,75,1.54,EC,1680530530
338,katangli,51.7102,143.2326,-2.17,97,77,4.14,RU,1680530699
339,senanga,-16.1167,23.2667,29.73,36,96,2.49,ZM,1680530699
340,santa rita do sapucai,-22.2522,-45.7033,22.18,75,62,1.53,BR,1680530699
341,portland,45.5234,-122.6762,3.19,94,100,3.13,US,1680530352
342,najran,17.4924,44.1277,28.36,24,30,6.01,SA,1680530699
343,sola,-13.8833,167.55,28.15,76,56,6.36,VU,1680530699
344,valdivia,-39.8142,-73.2459,10.05,55,2,1.24,CL,1680530699
345,lashio,22.9333,97.75,20.13,40,2,1.0,MM,1680530699
346,jatai,-17.8814,-51.7144,26.67,61,0,3.24,BR,1680530582
347,kruisfontein,-34.0033,24.7314,23.27,61,0,10.76,ZA,1680530699
348,kavaratti,10.5669,72.642,28.37,68,15,5.53,IN,1680530699
349,itatskiy,56.07,89.0369,-1.98,76,100,6.33,RU,1680530699
350,komsomolskiy,40.4272,71.7189,17.4,67,100,7.2,UZ,1680530699
351,fruitville,27.3298,-82.4576,26.67,60,0,2.57,US,1680530699
352,sydney mines,46.2367,-60.2177,0.1,60,40,7.72,CA,1680530699
353,shimoda,34.6667,138.95,10.61,67,6,5.56,JP,1680530699
354,lorengau,-2.0226,147.2712,26.85,76,72,1.1,PG,1680530699
355,kahului,20.8947,-156.47,23.8,83,40,2.06,US,1680530699
356,paamiut,61.994,-49.6678,1.33,80,100,4.16,GL,1680530699
357,westport,41.1415,-73.3579,10.05,52,0,4.12,US,1680530563
358,darhan,49.4867,105.9228,-5.14,46,3,4.67,MN,1680530699
359,lufilufi,-13.8745,-171.5986,24.88,74,100,1.7,WS,1680530700
360,havre,49.5833,0.3333,11.3,62,20,5.14,FR,1680530700
361,rumonge,-3.9736,29.4386,23.15,86,100,2.48,BI,1680530700
362,guozhen,34.3659,107.359,6.8,97,100,1.97,CN,1680530700
363,primero de enero,21.9469,-78.4283,27.88,53,8,4.76,CU,1680530700
364,gat,31.61,34.7642,29.11,38,0,4.35,IL,1680530524
365,manggar,-2.8833,108.2667,25.62,86,24,3.09,ID,1680530700
366,laziska gorne,50.1495,18.8422,5.16,53,100,5.94,PL,1680530700
367,ridgecrest,35.6225,-117.6709,10.92,42,20,7.2,US,1680530700
